CVDs,RSP,NO2,SO2,O3
208.0,50.23,59.97,8.33,41.67
231.0,101.88,74.24,28.31,41.68
259.0,66.98,71.75,18.87,54.92
164.0,107.9,87.35,18.0,41.68
163.0,110.64,93.39,20.05,67.49
250.0,66.04,74.6,13.87,79.49
208.0,66.03,74.69,14.52,82.68
260.0,73.87,78.83,13.17,53.24
224.0,67.49,75.27,29.37,29.3
190.0,63.46,75.28,39.67,7.18
148.0,39.6,46.44,7.63,30.93
142.0,22.15,43.06,5.57,12.61
226.0,32.98,49.26,10.74,20.79
217.0,56.22,59.17,14.13,8.93
202.0,44.46,66.13,12.96,21.3
204.0,52.1,62.72,14.71,19.06
215.0,45.58,48.38,32.93,5.15
148.0,32.88,35.34,15.95,12.74
135.0,27.75,30.9,20.97,11.11
257.0,26.39,38.02,16.03,7.96
186.0,14.05,43.04,4.78,26.06
207.0,21.98,48.83,7.24,20.34
187.0,40.94,59.21,17.12,15.61
177.0,67.19,53.41,26.38,4.61
127.0,31.9,49.1,7.92,30.68
106.0,40.32,52.23,11.27,48.24
232.0,63.96,66.55,22.69,39.0
195.0,41.39,50.8,10.98,21.43
205.0,45.22,55.1,8.23,49.8
205.0,27.81,44.97,5.37,46.61
181.0,47.24,82.31,27.05,26.24
113.0,41.15,56.48,21.94,13.8
144.0,33.52,39.8,21.08,16.24
194.0,39.63,48.36,17.08,18.18
169.0,23.55,43.68,7.09,12.61
152.0,19.32,46.31,6.44,8.99
91.0,33.05,45.46,7.51,13.55
105.0,44.27,51.32,6.71,72.11
108.0,55.0,55.33,6.05,61.67
152.0,39.19,55.94,6.16,75.92
159.0,34.25,50.95,5.82,41.8
226.0,41.69,53.25,5.48,49.99
216.0,27.25,52.41,11.31,14.36
213.0,32.57,51.34,7.84,30.61
175.0,51.58,54.5,9.15,68.84
164.0,42.53,52.72,8.16,52.11
123.0,48.71,66.77,15.3,49.36
213.0,66.89,80.55,23.39,14.24
223.0,122.64,115.18,84.49,27.05
223.0,88.91,96.54,50.96,0.67
181.0,45.02,52.31,18.8,12.61
181.0,26.28,57.44,17.93,10.11
128.0,37.57,53.81,8.21,35.11
130.0,82.41,59.23,12.15,80.18
172.0,75.71,67.09,12.47,77.99
171.0,52.28,67.57,10.73,73.18
210.0,43.54,67.15,10.5,74.72
172.0,47.81,72.72,12.53,57.8
186.0,49.5,72.15,12.31,50.43
114.0,41.01,48.82,8.9,48.81
138.0,40.5,44.63,7.6,41.11
208.0,37.72,47.51,24.83,18.8
184.0,35.04,59.99,21.93,7.11
185.0,55.81,67.34,42.68,4.55
167.0,38.74,42.49,26.46,16.86
151.0,49.45,56.71,9.05,38.49
111.0,45.73,50.88,27.34,12.24
110.0,30.42,48.35,17.97,22.18
182.0,32.16,60.77,9.47,12.07
160.0,45.53,48.04,22.69,11.24
192.0,28.69,52.6,9.55,36.93
165.0,115.85,58.47,9.38,92.3
182.0,163.79,59.32,9.14,88.93
99.0,59.83,59.34,9.35,11.8
116.0,54.31,50.11,7.6,55.55
185.0,111.63,64.46,14.35,122.05
168.0,72.92,52.76,8.3,95.68
171.0,54.26,45.48,7.0,81.05
161.0,68.35,73.11,22.73,57.05
130.0,58.84,58.49,11.68,37.59
123.0,54.63,61.39,9.76,107.3
107.0,51.43,45.16,6.53,103.43
216.0,48.67,47.09,7.88,70.99
176.0,50.88,61.21,14.1,69.55
180.0,69.21,83.34,40.83,51.8
182.0,46.78,66.78,28.98,43.99
174.0,42.52,59.4,28.91,41.43
101.0,51.22,50.07,8.39,64.93
119.0,22.32,52.44,18.81,18.68
197.0,26.82,54.02,33.49,15.11
187.0,33.88,55.82,33.47,17.93
182.0,39.9,55.55,32.38,0.29
166.0,30.79,35.67,25.71,13.94
177.0,23.52,25.3,16.78,11.93
126.0,28.09,32.19,32.13,17.18
108.0,21.82,28.11,22.2,18.24
197.0,23.75,25.74,22.29,21.11
163.0,21.73,27.3,17.99,25.22
